Machine,total_disk_read_throughput,total_disk_write_throughput,cpu_usage,request_throughput,vsize
fd_normal,0.0042446326974999,0.0042457092225,0.7141444444444446,6.285555555555556e-09,3132708818.16381
fd_normal2,0.0043740714158333,0.0043752379674999,0.7151472222222222,6.4866666666666645e-09,3136493821.3451824
fd_normal3,0.0043977328863509,0.0043959654075208,0.7317548746518107,6.521169916434545e-09,3150186447.215867
fr_normal,0.0,2.933333333333333e-08,0.0969611111111111,4.3305555555555596e-10,1624777621.0488875
fr_normal2,2.770083102493075e-13,3.0602493074792235e-08,0.1134515235457063,4.5373961218836576e-10,1621673790.3571558
fr_normal3,0.0,2.7880886426592818e-08,0.0933601108033241,4.121883656509695e-10,1624050564.8930745
preprocess_normal,0.0150721237552777,0.0150847727194444,0.8844083333333329,2.2075e-08,1794227319.8459272
preprocess_normal2,0.0145027598683333,0.0144998047869444,0.8877222222222214,2.12861111111111e-08,1772216303.3125925
preprocess_normal3,0.0135916520080555,0.0135845379394444,0.896494444444445,1.9965555555555522e-08,1770433714.251851
preprocess_normal4,0.0148505764980555,0.0148414964066666,0.8863388888888889,2.1833888888888888e-08,1780390482.8681488
