Machine,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
fd_normal,0.0042446326974999,0.0042457092225,505875861.0488892,3132708818.16381,0.7141444444444446,0.0043010931652777,1.4117156388888885e-05,422226435.4638889,578972621.0305556,710960558.0333333,6.285555555555556e-09,0.0
fd_normal2,0.0043740714158333,0.0043752379674999,510373292.2559435,3136493821.3451824,0.7151472222222222,0.0042803233080555,1.4899350000000008e-05,405125574.35833335,554271328.4805555,706451646.225,6.4866666666666645e-09,0.0
fd_normal3,0.0043977328863509,0.0043959654075208,512234545.4007034,3150186447.215867,0.7317548746518107,0.0044452844016713,1.457168133704736e-05,417337340.0278552,592297905.167131,723912218.6490251,6.521169916434545e-09,0.0
fr_normal,0.0,2.933333333333333e-08,540044837.5466665,1624777621.0488875,0.0969611111111111,0.0002947296744444,1.7774199999999998e-06,393422901.1861111,462106954.7805556,466111363.2638889,4.3305555555555596e-10,0.0
fr_normal2,2.770083102493075e-13,3.0602493074792235e-08,518855427.92391497,1621673790.3571558,0.1134515235457063,0.0003061343700831,1.669872299168976e-06,463029261.2797784,548416014.8060942,553048628.9196676,4.5373961218836576e-10,0.0
fr_normal3,0.0,2.7880886426592818e-08,537248834.3756231,1624050564.8930745,0.0933601108033241,0.0002795848426592,1.6573878116343493e-06,356474811.9030471,420101255.3240997,423957428.12465376,4.121883656509695e-10,0.0
preprocess_normal,0.0150721237552777,0.0150847727194444,548450326.7555559,1794227319.8459272,0.8844083333333329,0.0153782811769444,8.19357711111111e-05,346714239.16944444,703747714.625,837385143.3305556,2.2075e-08,0.0
preprocess_normal2,0.0145027598683333,0.0144998047869444,516658039.8459254,1772216303.3125925,0.8877222222222214,0.0147741053294444,5.524077861111109e-05,308643049.3611111,524649518.23888886,678268413.775,2.12861111111111e-08,0.0
preprocess_normal3,0.0135916520080555,0.0135845379394444,516173642.04585546,1770433714.251851,0.896494444444445,0.0138670857930555,4.870713055555555e-05,341376783.94166666,546603371.8472222,673193421.8,1.9965555555555522e-08,0.0
preprocess_normal4,0.0148505764980555,0.0148414964066666,523348357.2464204,1780390482.8681488,0.8863388888888889,0.0150738907388889,7.88044141666667e-05,320033252.16944444,579176179.7861111,710109103.2888889,2.1833888888888888e-08,0.0
